Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,34 Charles Street,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Airport West,154 Halsey Road,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042,3,2,1,303.0,225.0,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
Airport West,50 Bedford Street,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,145.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,50 Bedford Street,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,145.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,23 Hart Street,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
Airport West,1/80 Hawker Street,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Airport West,1/37 Hillside Grove,3,h,600000.0,S,Maddison,2017-03-04,13.5,3042,2,1,1,290.0,116.0,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2/49 Hawker Street,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Airport West,54 Marshall Road,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,151.96764988779805,1964,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
Airport West,34 Roberts Road,4,h,785000.0,S,Considine,2016-08-06,13.5,3042,3,1,2,597.0,127.0,1964,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Airport West,11 Harrington Road,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042,6,3,2,976.0,186.0,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2/252 Parer Road,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
Airport West,3/19 Hart Street,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2/62 Clydesdale Road,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3 Deidre Court,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042,3,1,6,1063.0,133.0,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
Airport West,13 Etzel Street,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,105.0,105.0,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
Airport West,1/43 Cameron Street,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
Airport West,241 Parer Road,5,h,755000.0,PI,Propertyau,2016-05-14,13.5,3042,3,2,2,596.0,151.96764988779805,1964,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464
Airport West,2/40 Earl Street,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
Airport West,180 Parer Road,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
Airport West,4/54 Hawker Street,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,151.96764988779805,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
Airport West,43 Hillside Grove,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,151.96764988779805,1964,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464
Airport West,174 Parer Road,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Road,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,75 King Street,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,151.96764988779805,1964,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464
Airport West,6 Kittyhawk Street,4,h,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Airport West,478 Fullarton Road,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Airport West,144 Marshall Road,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
Airport West,106 Parer Road,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,151.96764988779805,1964,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
Airport West,34 Roberts Road,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
Airport West,37 North Street,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
Airport West,10 Hilbert Road,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
Airport West,110 Halsey Road,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,151.96764988779805,1964,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464
Airport West,2/13 North Street,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,1964,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Airport West,115 Victory Road,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,151.96764988779805,1964,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
Airport West,117 Marshall Road,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,151.96764988779805,1964,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,34 Moorna Drive,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,151.96764988779805,1964,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464
Airport West,33 North Street,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,151.96764988779805,1964,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
Airport West,49 Roberts Road,4,h,765000.0,S,Prof.,2016-11-27,13.5,3042,4,1,2,509.0,151.96764988779805,1964,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464
Airport West,85 Roberts Road,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
Albert Park,107 Kerferd Road,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,87 Richardson Street,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,151.96764988779805,1964,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280
Albert Park,111 Beaconsfield Parade,3,h,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211.0,198.0,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,92 Graham Street,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
Albert Park,396 Montague Street,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,73 Graham Street,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,151.96764988779805,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,54 Brooke Street,2,h,1550000.0,S,Sotheby's,2016-05-07,3.3,3206,2,1,1,167.0,151.96764988779805,1964,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
Albert Park,104 Richardson Street,4,h,2300000.0,S,Marshall,2016-05-07,3.3,3206,4,2,1,153.0,180.0,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
Albert Park,6 Mills Street,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,151.96764988779805,1964,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280
Albert Park,3 Moubray Street,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
Albert Park,27 Faussett Street,2,h,2120000.0,S,Greg,2016-09-10,3.3,3206,2,1,1,199.0,107.0,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,3 Herbert Street,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,151.96764988779805,1964,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
Albert Park,24 Kerferd Place,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
Albert Park,44 Draper Street,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,151.96764988779805,1964,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
Albert Park,2 Dundas Place,3,h,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177.0,181.0,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,25 Finlay Street,5,h,2100000.0,S,Greg,2016-12-10,3.3,3206,5,2,1,237.0,151.96764988779805,1964,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280
Albert Park,31 Richardson Street,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,151.96764988779805,1964,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280
Albert Park,4 Gatehouse Lane,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,85.0,85.0,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
Albert Park,62 Brooke Street,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,151.96764988779805,1964,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280
Albert Park,70 Barrett Street,3,h,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,151.96764988779805,1964,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280
Albert Park,63 Graham Street,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,366 Montague Street,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,90 Mills Street,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,131 Kerferd Road,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,151.96764988779805,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,95 Page Street,3,h,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,55 Withers Street,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,140 Kerferd Road,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,151.96764988779805,151.96764988779805,1964,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280
Albert Park,55 Merton Street,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
Albert Park,49 Page Street,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,52 Moubray Street,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,34.0,34.0,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
Albert Park,115 Page Street,4,h,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,1910,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,32 Page Street,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,151.96764988779805,1964,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280
Albert Park,34 Richardson Street,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,151.96764988779805,1964,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
Albert Park,2 Dundas Place,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,151.96764988779805,151.96764988779805,1964,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,24 Greig Street,3,h,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,151.96764988779805,1964,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280
Albert Park,27 Barrett Lane,4,h,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,46 Greig Street,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,151.96764988779805,1964,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
Albert Park,6 Brooke Street,2,h,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,229 Danks Street,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,151.96764988779805,1964,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,17 Reed Street,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,76 Bridport Street,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,151.96764988779805,151.96764988779805,1964,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280
Albert Park,9 Durham Street,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
Alphington,6 Smith Street,4,h,2000000.0,S,Brace,2016-09-03,6.4,3078,3,2,4,853.0,263.0,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
Alphington,6 Yarralea Street,3,h,1110000.0,S,Jellis,2016-09-03,6.4,3078,3,2,2,208.0,151.96764988779805,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
Alphington,44 Shiers Street,4,h,1717500.0,S,Collins,2016-10-08,6.4,3078,4,2,1,599.0,203.0,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211
Alphington,87A Fulham Road,5,h,2840000.0,S,Nelson,2016-06-12,6.4,3078,5,4,4,809.0,165.0,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211
Alphington,3/19 Rowe Street,2,u,525500.0,S,Miles,2016-11-12,6.4,3078,2,1,1,88.0,60.0,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
Alphington,4/2 Miller Street,2,t,805000.0,S,Miles,2016-11-12,6.4,3078,2,2,3,155.0,140.0,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
Alphington,2/5 Yarana Road,2,u,465000.0,S,McGrath,2016-11-12,6.4,3078,2,1,1,151.96764988779805,151.96764988779805,1964,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,816 Heidelberg Road,3,h,2000000.0,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686.0,151.96764988779805,1964,Darebin,-37.78,145.0341,Northern Metropolitan,2211
Alphington,44 Naroon Road,3,h,1540000.0,S,Nelson,2016-04-16,6.4,3078,3,1,2,592.0,151.96764988779805,1964,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
Alphington,87A Fulham Road,2,u,820000.0,S,Nelson,2017-03-18,6.4,3078,2,1,1,183.0,151.96764988779805,1964,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
Alphington,10 Bennett Street,4,h,1830000.0,S,Nelson,2016-11-19,6.4,3078,4,2,2,606.0,112.0,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
Alphington,38 Bennett Street,4,h,2100000.0,S,Nelson,2016-11-19,6.4,3078,4,2,2,575.0,271.0,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
Alphington,5/5 Yarana Road,2,u,390000.0,VB,Nelson,2016-05-22,6.4,3078,2,1,1,60.0,60.0,1960,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,7/7 Chandler Highway,2,t,650000.0,SP,Brace,2016-09-24,6.4,3078,0,1,0,151.96764988779805,151.96764988779805,1964,Yarra,-37.7848,145.025,Northern Metropolitan,2211
Alphington,1/14 Fulham Road,2,u,512000.0,S,Love,2017-02-25,6.4,3078,2,1,1,61.0,61.0,1965,Darebin,-37.7805,145.0262,Northern Metropolitan,2211
Alphington,22 Lowther Street,3,h,1165000.0,S,Barry,2016-06-27,6.4,3078,3,1,2,979.0,151.96764988779805,1964,Yarra,-37.7792,145.029,Northern Metropolitan,2211
Alphington,11 Margaret Grove,4,h,1900000.0,SP,McGrath,2016-11-27,6.4,3078,4,2,2,556.0,272.0,1930,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
Alphington,6 Naroon Road,3,h,1485000.0,SP,McGrath,2016-08-28,6.4,3078,3,0,0,597.0,151.96764988779805,1964,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
Alphington,42 Shiers Street,4,h,1950000.0,S,Jellis,2016-07-30,6.4,3078,4,2,3,589.0,210.0,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
Altona,158 Queen Street,3,h,520000.0,VB,Greg,2016-09-03,13.8,3018,3,2,1,352.0,242.0,2015,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301
Altona,59 Bracken Grove,5,h,1525000.0,S,Greg,2016-12-03,13.8,3018,5,3,3,729.0,268.0,2005,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301
Altona,1/123 Blyth Street,2,t,720000.0,S,hockingstuart,2016-02-04,13.8,3018,2,1,2,292.0,125.0,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
Altona,4 Blyth Street,3,h,1120000.0,S,Barlow,2017-03-04,13.8,3018,3,1,2,506.0,120.0,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
Altona,20 Linnet Street,4,h,780000.0,PI,Sweeney,2016-06-04,13.8,3018,4,1,4,655.0,151.96764988779805,1964,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301
Altona,29 Rose Street,4,h,1780000.0,SP,Greg,2016-06-04,13.8,3018,4,3,6,1057.0,220.0,1962,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301
Altona,1/170 Blyth Street,3,u,630000.0,S,Barlow,2016-08-06,13.8,3018,2,1,2,311.0,94.0,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
Altona,5/35 Blyth Street,2,u,406000.0,SP,hockingstuart,2016-08-06,13.8,3018,2,1,1,65.0,151.96764988779805,1964,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301
Altona,156 Maidstone Street,3,h,660000.0,VB,Greg,2016-05-07,13.8,3018,3,1,1,602.0,123.0,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
